,k,distortion
0,0,124857.98592093441
1,1,81631.060462366
2,2,61770.378536393626
3,3,48701.02966612085
4,4,44624.7755102958
5,5,40853.9559003535
6,6,37792.5569589129
7,7,34841.988930771535
8,8,32622.257839957492
9,9,30605.94792071514
10,10,29310.180793545347
11,11,27633.48171064503
12,12,26353.192329402118
13,13,25118.74990378758
14,14,23898.938798816256
15,15,22881.747541845474
16,16,21896.21528456435
17,17,21101.445273899797
18,18,20173.67323138801
